Date,Open,High,Low,Close,Turnover (Rs. Cr)
21-Jan-99,935.15,967.2,932.8,967.2,1331
22-Jan-99,976.6,980.45,955.15,957.05,1076.9
25-Jan-99,954.35,956.65,935,949.8,1091.78
27-Jan-99,968.55,985.25,967.65,971.3,1224.35
28-Jan-99,971.2,976.75,954.25,955.1,789.56
29-Jan-99,956.8,966.35,952.7,966.2,751.62
01-Feb-99,962.4,968.05,940.15,940.15,731.92
02-Feb-99,940.1,945.15,924.95,931.2,859.68
03-Feb-99,948,955.55,940.75,952.4,801.51
04-Feb-99,957.15,958.8,937.5,939.7,868.91
05-Feb-99,939.65,943.7,930.1,936.3,710.09
08-Feb-99,937.75,940.9,916.5,916.5,848.21
09-Feb-99,914.7,924.75,907.45,924.75,852.68
10-Feb-99,938.8,959.6,935.2,959.45,973.17
11-Feb-99,966.85,973.7,958.15,960.05,1267.54
12-Feb-99,965.7,972.75,962.35,970.25,818.99
15-Feb-99,974.1,976.85,954.55,954.55,957.09
16-Feb-99,952.55,960.25,951.5,958.9,775.51
17-Feb-99,970.1,978.75,953.1,969.05,988.61
18-Feb-99,974.15,989.15,968.7,973.45,1018.65
19-Feb-99,979.4,985.4,975.85,976.3,858.65
22-Feb-99,978.5,978.85,953.6,953.85,755.26
23-Feb-99,949.3,952.65,938.65,949.65,870.38
24-Feb-99,959.8,961.4,947.95,957.65,754.89
25-Feb-99,954.7,962.6,951.9,954.3,745.9
26-Feb-99,955.4,955.75,938.2,941.2,738.01
27-Feb-99,947.35,981.55,932.2,981.3,1546.01
01-Mar-99,992.45,1018.4,984.45,1015.8,1348.05
03-Mar-99,1066.4,1073.05,1051.8,1051.85,1755.67
04-Mar-99,1056.85,1060.55,1030.45,1041.2,1215.1
05-Mar-99,1043.45,1061.4,1033.8,1054.45,1557.65
08-Mar-99,1064.35,1080.3,1056.85,1072.1,1704.44
09-Mar-99,1074.25,1084.65,1071.75,1078.35,1387.49
10-Mar-99,1099.15,1099.8,1062.7,1078.85,1563.47
11-Mar-99,1080.15,1085.4,1059.6,1059.6,1132.64
12-Mar-99,1066.85,1074.15,1057.1,1072.65,1071.34
15-Mar-99,1073.15,1082.5,1063.45,1073.95,1082.45
16-Mar-99,1068.85,1075.7,1052.9,1053.15,1208.96
17-Mar-99,1078.2,1088.55,1057.75,1060.65,1231.68
18-Mar-99,1061.4,1074.6,1058.25,1074.6,911.45
19-Mar-99,1080.7,1083.15,1056.4,1062.9,987.62
20-Mar-99,1063.15,1063.65,1053.6,1060.35,173.26
22-Mar-99,1052.6,1066.6,1044.1,1063,757.66
23-Mar-99,1063.95,1079.85,1063.9,1072.95,1099.56
24-Mar-99,1091.15,1091.9,1047.05,1062.8,966.68
25-Mar-99,1057.95,1068.15,1053.3,1054.9,647.07
26-Mar-99,1054.95,1057.8,1033,1041.25,705.2
30-Mar-99,1036,1054.65,1028.45,1054.6,949.24
31-Mar-99,1076.95,1090.4,1073.65,1078.05,977.24
01-Apr-99,1082.55,1084.05,1062.45,1063.45,684.74
05-Apr-99,1030.65,1036.45,1008.35,1011.4,664.97
06-Apr-99,999.8,1025.95,993,1024.2,840.65
07-Apr-99,1027.35,1043.4,1027,1031.05,837.17
08-Apr-99,1033,1036.95,1015.3,1020.35,468.68
09-Apr-99,1021.55,1022.15,989.75,993.4,688.36
12-Apr-99,984.55,999.65,972.7,998.2,483.05
13-Apr-99,991.05,1006.15,989.9,994.25,526.31
15-Apr-99,968.4,980.65,964.35,968.6,431.81
16-Apr-99,970.95,1044.85,965.15,1044.45,691.46
17-Apr-99,1065.5,1069.55,961.4,966.95,1123.14
19-Apr-99,961.3,1000.6,955.75,993.9,619.54
20-Apr-99,995.65,1003.7,983.7,995.4,590.98
21-Apr-99,997.35,1003.4,990.95,996.65,533.23
22-Apr-99,999.55,1012,971.9,981.65,606.47
23-Apr-99,987.05,994.3,968.15,982,667.33
26-Apr-99,945.9,955.5,931.3,931.35,653.2
28-Apr-99,928.85,944.45,916,943.5,512.86
29-Apr-99,950.25,966.6,948.4,966.6,794.57
30-Apr-99,970.9,980.75,969.6,978.2,633.65
03-May-99,979.8,986.4,968.25,970.75,565.66
04-May-99,971.9,1008.35,971.8,1008.35,702.42
05-May-99,1014.65,1034.55,1004.9,1019.55,1174.63
06-May-99,1024.95,1048.05,1023.95,1046.95,1265.39
07-May-99,1065.4,1080.7,1059.05,1062.9,1315.68
10-May-99,1070.75,1094.2,1070.35,1094.2,1168.35
11-May-99,1102.2,1121.95,1100.5,1116,1215.12
12-May-99,1135.45,1142.1,1086.7,1110.9,1547.93
13-May-99,1131.95,1149.6,1130.85,1148.1,1494.32
14-May-99,1157.6,1173.55,1144.9,1165.35,1984.24
17-May-99,1164.45,1171.1,1120.7,1151.9,1784.17
18-May-99,1155.75,1176.3,1153.45,1160.15,1543.76
19-May-99,1169.6,1189.2,1161.6,1180.25,1667.64
20-May-99,1181,1201.3,1166.9,1166.9,1410.39
21-May-99,1176.95,1177,1139.1,1145.85,1578.11
24-May-99,1147.4,1154.5,1132.5,1151.6,907.11
25-May-99,1148.05,1164.2,1147.4,1160.2,1137.73
26-May-99,1165.15,1170.1,1122.6,1135.5,1230.17
27-May-99,1132.85,1147.95,1091.45,1091.45,1097.31
28-May-99,1088,1098.25,1049.95,1081.5,1311.04
31-May-99,1098,1132.8,1097.85,1132.3,1110.6
01-Jun-99,1125.55,1139.8,1113,1123.8,1223.63
02-Jun-99,1120.65,1127.65,1107.2,1125.15,927.53
03-Jun-99,1129.9,1141.05,1127.3,1136.65,1039.78
04-Jun-99,1150.05,1162,1149.1,1155.05,1342.29
07-Jun-99,1159.55,1164.15,1150.2,1156.65,950.03
08-Jun-99,1145.9,1178.95,1138.05,1178.95,1210.96
09-Jun-99,1180,1192.05,1159.25,1163.2,1146.74
10-Jun-99,1163.7,1175.95,1159.6,1162.6,990.57
11-Jun-99,1161.8,1162.95,1140.25,1141.9,1002.76
14-Jun-99,1140.75,1140.75,1099.85,1126.9,845.12
15-Jun-99,1127.4,1143.3,1113.3,1120.5,1105.79
16-Jun-99,1120.35,1152.35,1109.7,1148.15,1419.12
17-Jun-99,1148.95,1181.9,1148.95,1176.35,1387.45
18-Jun-99,1177.15,1189.2,1172.2,1175.15,1074.44
21-Jun-99,1175.3,1203.35,1175.3,1202.3,980.79
22-Jun-99,1202.95,1219.45,1201.2,1214.3,1246.31
